iter	RMSE
0	3.912314542
1	3.890899981
2	3.872156785
3	3.852060962
4	3.833465364
5	3.814790882
6	3.794693495
7	3.777389652
8	3.759455767
9	3.739085129
10	3.725145422
11	3.700241947
12	3.678030053
13	3.661680583
14	3.637757012
15	3.618675958
16	3.603060175
17	3.58745852
18	3.572889984
19	3.556085213
20	3.543267685
21	3.523297286
22	3.509551041
23	3.49396296
24	3.479660547
25	3.462733372
26	3.447031902
27	3.427970905
28	3.410824104
29	3.392125924
30	3.371739091
31	3.357913927
32	3.340932254
33	3.323590452
34	3.308608495
35	3.292243973
36	3.278485309
37	3.260651635
38	3.244049712
39	3.226491029
40	3.213473575
41	3.202159155
42	3.18649823
43	3.168577354
44	3.155945345
45	3.138158079
46	3.117906276
47	3.10123306
48	3.089839593
49	3.077297418
50	3.064252081
51	3.047480966
52	3.033311708
53	3.020523007
54	3.005363014
55	2.991673189
56	2.97586441
57	2.963546799
58	2.950744067
59	2.939164519
60	2.93023724
61	2.918923721
62	2.904493088
63	2.892861402
64	2.879076748
65	2.870189795
66	2.855969054
67	2.846068999
68	2.835186962
69	2.820204231
70	2.806646759
71	2.792538655
72	2.783940501
73	2.76904195
74	2.757885293
75	2.744638912
76	2.735995207
77	2.725751657
78	2.712264046
79	2.701820478
80	2.690033036
81	2.676343112
82	2.667900276
83	2.652121122
84	2.641538583
85	2.628358152
86	2.615987365
87	2.601070986
88	2.587698927
89	2.573663297
90	2.563426957
91	2.553006631
92	2.542537246
93	2.531914636
94	2.519730967
95	2.51209673
96	2.497400985
97	2.487772249
98	2.471002833
99	2.463446041
100	2.452226302
101	2.438236282
102	2.427749157
103	2.413711523
104	2.406695025
105	2.393909435
106	2.382727362
107	2.373752946
108	2.364664252
109	2.351131091
110	2.341378978
111	2.33162264
112	2.3201256
113	2.310199845
114	2.300497942
115	2.290275055
116	2.283802324
117	2.274670182
118	2.266363992
119	2.256750478
120	2.247948033
121	2.239907881
122	2.228427381
123	2.218636597
124	2.206579366
125	2.195978222
