Pozo,date,bapd,bppd,bsw,mscf,pco2,temp,Na,pH,SO4,Cl,Fe,bicarb,Press,Ca,criticidad
AGR-30,5/26/2018,2177.5,1172.5,65,318,30,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
AGR-30,5/27/2018,2177.5,1172.5,65,318,30,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
AGR-30,5/28/2018,2177.5,1172.5,65,318,30,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
AGR-30,5/29/2018,2177.5,1172.5,65,318,30,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
AGR-30,5/30/2018,2177.5,1172.5,65,318,30,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
AGR-30,5/31/2018,2177.5,1172.5,65,318,30,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
AGR-30,6/1/2018,2177.5,1172.5,65,318,28,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
AGR-30,6/2/2018,2177.5,1172.5,65,318,28,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
AGR-30,6/3/2018,2177.5,1172.5,65,318,28,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
AGR-30,6/4/2018,2177.5,1172.5,65,318,28,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
AGR-30,6/5/2018,2177.5,1172.5,65,318,28,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
AGR-30,6/6/2018,2177.5,1172.5,65,318,28,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
AGR-30,6/7/2018,2177.5,1172.5,65,318,28,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
AGR-30,6/8/2018,2177.5,1172.5,65,318,28,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
SHS-70,6/9/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK
AGR-30,6/9/2018,2177.5,1172.5,65,318,28,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
SHS-70,6/10/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK
AGR-30,6/10/2018,2177.5,1172.5,65,318,28,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
SHS-70,6/11/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK
AGR-30,6/11/2018,2177.5,1172.5,65,318,28,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
SHS-62,6/11/2018,403.2,604.8,40,185,17.5,130,29602.30583,6.4,172.5,56000,167.5,230,135,4920,LOW RISK
SHS-70,6/12/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK
AGR-30,6/12/2018,2177.5,1172.5,65,318,28,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
SHS-70,6/13/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK
AGR-30,6/13/2018,2177.5,1172.5,65,318,28,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
SHS-70,6/14/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK
AGR-30,6/14/2018,2177.5,1172.5,65,318,28,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
SHS-70,6/15/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK
AGR-30,6/15/2018,2177.5,1172.5,65,318,28,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
SHS-70,6/16/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK
AGR-30,6/16/2018,2177.5,1172.5,65,318,28,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
SHS-70,6/17/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK
AGR-30,6/17/2018,2177.5,1172.5,65,318,28,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
SHS-70,6/18/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK
AGR-30,6/18/2018,2177.5,1172.5,65,318,28,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
SHS-70,6/19/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK
AGR-30,6/19/2018,2177.5,1172.5,65,318,28,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
SHS-70,6/20/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK
AGR-30,6/20/2018,2177.5,1172.5,65,318,28,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
SHS-70,6/21/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK
AGR-30,6/21/2018,2177.5,1172.5,65,318,28,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
SHS-14,6/21/2018,944.64,531.36,64,148,43.6,120,9246,6.7,125,16200,30,845,245,1208,LOW RISK
SHS-70,6/22/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK
AGR-30,6/22/2018,2177.5,1172.5,65,318,28,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
SHS-14,6/22/2018,944.64,531.36,64,148,43.6,120,9246,6.7,125,16200,30,845,245,1208,LOW RISK
SHS-70,6/23/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK
AGR-30,6/23/2018,2177.5,1172.5,65,318,28,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
SHS-14,6/23/2018,944.64,531.36,64,148,43.6,120,9246,6.7,125,16200,30,845,245,1208,LOW RISK
SHS-17,6/23/2018,2946.36,295.8,86,212,18,184,30690,5.844347858,50,61100,64,280,30,6320,LOW RISK
SHS-17,6/23/2018,2946.36,295.8,86,86,18,184,30690,5.844347858,50,61100,64,280,30,6320,LOW RISK
AGR-29,6/24/2018,3267.84,215.16,34,226,11.2,212,26875,6.07395371,10,86300,80,120,200,9640,LOW RISK
SHS-70,6/24/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK
AGR-30,6/24/2018,2177.5,1172.5,65,318,28,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
SHS-19,6/24/2018,2040,360,85,147,6.6,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK
SHS-14,6/24/2018,944.64,531.36,64,148,43.6,120,9246,6.7,125,16200,30,845,245,1208,LOW RISK
SHS-17,6/24/2018,2946.36,295.8,86,86,18,184,30690,5.844347858,50,61100,64,280,30,6320,LOW RISK
SHS-70,6/25/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK
AGR-30,6/25/2018,2177.5,1172.5,65,318,28,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
SHS-19,6/25/2018,2040,360,85,147,6.6,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK
SHS-14,6/25/2018,944.64,531.36,64,148,43.6,120,9246,6.7,125,16200,30,845,245,1208,LOW RISK
SHS-17,6/25/2018,2946.36,295.8,86,86,18,184,30690,5.844347858,50,61100,64,280,30,6320,LOW RISK
SHS-70,6/26/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK
AGR-30,6/26/2018,2177.5,1172.5,65,318,28,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
SHS-19,6/26/2018,2040,360,85,147,6.6,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK
SHS-14,6/26/2018,944.64,531.36,64,148,43.6,120,9246,6.7,125,16200,30,845,245,1208,LOW RISK
SHS-134,6/26/2018,1012.32,319.68,76,161,18.72,174,12175,5.628173331,25,28303,33,250,120,440,LOW RISK
SHS-17,6/26/2018,2946.36,295.8,86,86,18,184,30690,5.844347858,50,61100,64,280,30,6320,LOW RISK
SHS-70,6/27/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK
AGR-30,6/27/2018,2177.5,1172.5,65,318,28,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
SHS-19,6/27/2018,2040,360,85,147,6.6,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK
SHS-14,6/27/2018,944.64,531.36,64,148,43.6,120,9246,6.7,125,16200,30,845,245,1208,LOW RISK
SHS-134,6/27/2018,1012.32,319.68,76,161,18.72,174,12175,5.628173331,25,28303,33,250,120,440,LOW RISK
SHS-17,6/27/2018,2946.36,295.8,86,86,18,184,30690,5.844347858,50,61100,64,280,30,6320,LOW RISK
SHS-70,6/28/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK
SHS-28,6/28/2018,660,165,80,80,2.8,186,18006,6.33377103,1,41474,57,300,110,6520,LOW RISK
AGR-30,6/28/2018,2177.5,1172.5,65,318,28,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
SHS-19,6/28/2018,2040,360,85,147,6.6,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK
SHS-14,6/28/2018,944.64,531.36,64,148,43.6,120,9246,6.7,125,16200,30,845,245,1208,LOW RISK
SHS-134,6/28/2018,1012.32,319.68,76,161,18.72,174,12175,5.628173331,25,28303,33,250,120,440,LOW RISK
SHS-17,6/28/2018,2946.36,295.8,86,86,18,184,30690,5.844347858,50,61100,64,280,30,6320,LOW RISK
SHS-70,6/29/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK
SHS-28,6/29/2018,660,165,80,80,2.8,186,18006,6.33377103,1,41474,57,300,110,6520,LOW RISK
AGR-30,6/29/2018,2177.5,1172.5,65,318,28,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
SHS-135,6/29/2018,219,119.2,60,90,42.5,130,26875,6.824733174,210,18300,53,920,120,1520,LOW RISK
SHS-19,6/29/2018,2040,360,85,147,6.6,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK
SHS-14,6/29/2018,944.64,531.36,64,148,43.6,120,9246,6.7,125,16200,30,845,245,1208,LOW RISK
SHS-134,6/29/2018,1012.32,319.68,76,161,18.72,174,12175,5.628173331,25,28303,33,250,120,440,LOW RISK
SHS-17,6/29/2018,2946.36,295.8,86,86,18,184,30690,5.844347858,50,61100,64,280,30,6320,LOW RISK
AGR-14,6/30/2018,2616.6,209.4,89.5,29,28.8,210,32843,6.21,90,62700,61.25,262.3,230,6320,LOW RISK
SHS-70,6/30/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK
SHS-28,6/30/2018,660,165,80,80,2.8,186,18006,6.33377103,1,41474,57,300,110,6520,LOW RISK
AGR-30,6/30/2018,2177.5,1172.5,65,318,28,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
SHS-135,6/30/2018,219,119.2,60,90,42.5,130,26875,6.824733174,210,18300,53,920,120,1520,LOW RISK
SHS-19,6/30/2018,2040,360,85,147,6.6,210,41575.05844,6.271622061,25,74000,33,210,110,5000,LOW RISK
SHS-14,6/30/2018,944.64,531.36,64,148,43.6,120,9246,6.7,125,16200,30,845,245,1208,LOW RISK
SHS-134,6/30/2018,1012.32,319.68,76,161,18.72,174,12175,5.628173331,25,28303,33,250,120,440,LOW RISK
SHS-17,6/30/2018,2946.36,295.8,86,86,18,184,30690,5.844347858,50,61100,64,280,30,6320,LOW RISK
AGR-14,7/1/2018,2616.6,209.4,89.5,29,36.15,210,32843,6.21,90,62700,61.25,262.3,230,6320,LOW RISK
SHS-70,7/1/2018,330.6,49.4,87,30,53.9,205,18796,6.8,25,36000,34,512,200,3920,LOW RISK
SHS-28,7/1/2018,660,165,80,80,2.8,186,18006,6.33377103,1,41474,57,300,110,6520,LOW RISK
AGR-30,7/1/2018,2177.5,1172.5,65,318,32.32,205,36388,6.769103808,45,70500,132.25,244,200,6880,LOW RISK
