Pozo,date,bppd,bapd,bsw,mscf,pres,temp,co2_frac,Cl,Na,SO4,Fe,bicarb,Ca,criticidad,mpy
AGR-30,5/26/2018,1172.5,2177.5,65,318,200,205,0.15,70500,36388,45,132.25,244,6880,LOW RISK,0.903
AGR-30,5/27/2018,1172.5,2177.5,65,318,200,205,0.15,70500,36388,45,132.25,244,6880,LOW RISK,0.41
AGR-30,5/28/2018,1172.5,2177.5,65,318,200,205,0.15,70500,36388,45,132.25,244,6880,LOW RISK,0.115
AGR-30,5/29/2018,1172.5,2177.5,65,318,200,205,0.15,70500,36388,45,132.25,244,6880,LOW RISK,0.921
AGR-30,5/30/2018,1172.5,2177.5,65,318,200,205,0.15,70500,36388,45,132.25,244,6880,LOW RISK,0.157
AGR-30,5/31/2018,1172.5,2177.5,65,318,200,205,0.15,70500,36388,45,132.25,244,6880,LOW RISK,0.34
AGR-30,6/1/2018,1172.5,2177.5,65,318,200,205,0.14,70500,36388,45,132.25,244,6880,LOW RISK,0.097
AGR-30,6/2/2018,1172.5,2177.5,65,318,200,205,0.14,70500,36388,45,132.25,244,6880,LOW RISK,0.073
AGR-30,6/3/2018,1172.5,2177.5,65,318,200,205,0.14,70500,36388,45,132.25,244,6880,LOW RISK,0.853
AGR-30,6/4/2018,1172.5,2177.5,65,318,200,205,0.14,70500,36388,45,132.25,244,6880,LOW RISK,0.418
AGR-30,6/5/2018,1172.5,2177.5,65,318,200,205,0.14,70500,36388,45,132.25,244,6880,LOW RISK,0.2
AGR-30,6/6/2018,1172.5,2177.5,65,318,200,205,0.14,70500,36388,45,132.25,244,6880,LOW RISK,0.208
AGR-30,6/7/2018,1172.5,2177.5,65,318,200,205,0.14,70500,36388,45,132.25,244,6880,LOW RISK,0.753
AGR-30,6/8/2018,1172.5,2177.5,65,318,200,205,0.14,70500,36388,45,132.25,244,6880,LOW RISK,0.695
SHS-70,6/9/2018,49.4,330.6,87,30,200,205,0.27,36000,18796,25,34,512,3920,LOW RISK,0.94
AGR-30,6/9/2018,1172.5,2177.5,65,318,200,205,0.14,70500,36388,45,132.25,244,6880,LOW RISK,0.179
SHS-70,6/10/2018,49.4,330.6,87,30,200,205,0.27,36000,18796,25,34,512,3920,LOW RISK,0.505
AGR-30,6/10/2018,1172.5,2177.5,65,318,200,205,0.14,70500,36388,45,132.25,244,6880,LOW RISK,0.242
SHS-70,6/11/2018,49.4,330.6,87,30,200,205,0.27,36000,18796,25,34,512,3920,LOW RISK,0.606
AGR-30,6/11/2018,1172.5,2177.5,65,318,200,205,0.14,70500,36388,45,132.25,244,6880,LOW RISK,0.619
SHS-62,6/11/2018,604.8,403.2,40,185,135,130,0.13,56000,29602.30583,172.5,167.5,230,4920,LOW RISK,0.164
SHS-70,6/12/2018,49.4,330.6,87,30,200,205,0.27,36000,18796,25,34,512,3920,LOW RISK,0.372
AGR-30,6/12/2018,1172.5,2177.5,65,318,200,205,0.14,70500,36388,45,132.25,244,6880,LOW RISK,0.753
SHS-70,6/13/2018,49.4,330.6,87,30,200,205,0.27,36000,18796,25,34,512,3920,LOW RISK,0.487
AGR-30,6/13/2018,1172.5,2177.5,65,318,200,205,0.14,70500,36388,45,132.25,244,6880,LOW RISK,0.888
SHS-70,6/14/2018,49.4,330.6,87,30,200,205,0.27,36000,18796,25,34,512,3920,LOW RISK,0.314
AGR-30,6/14/2018,1172.5,2177.5,65,318,200,205,0.14,70500,36388,45,132.25,244,6880,LOW RISK,0.893
SHS-70,6/15/2018,49.4,330.6,87,30,200,205,0.27,36000,18796,25,34,512,3920,LOW RISK,0.133
